iter,barcode_tot,n_barcodes,correlation,n_variants
0,5,1,0.9189661002901222,40
1,5,1,0.9262854245978313,40
2,5,1,0.9073414112739157,40
3,5,1,0.9029050422972812,40
4,5,1,0.8609884851076293,40
5,5,1,0.9024095987758716,40
6,5,1,0.9218797328080152,40
7,5,1,0.8820715657212006,40
8,5,1,0.9282350182876568,40
9,5,1,0.8766813657267647,40
10,5,1,0.8659605249430339,40
11,5,1,0.829295254012624,40
12,5,1,0.951945767044754,40
13,5,1,0.9064492046322244,40
14,5,1,0.9142368611653076,40
15,5,1,0.9493753521966048,40
16,5,1,0.8811282693762619,40
17,5,1,0.9381166087381574,40
18,5,1,0.8471500670812404,40
19,5,1,0.945816646112545,40
20,5,1,0.924733966105329,40
21,5,1,0.9070560022132944,40
22,5,1,0.9047446484084934,40
23,5,1,0.8352492818597589,40
24,5,1,0.951997018800227,40
25,5,1,0.8986338981752783,40
26,5,1,0.9119852015185488,40
27,5,1,0.8847637043672267,40
28,5,1,0.9351520023651814,40
29,5,1,0.870873346819185,40
30,5,1,0.9382945725108784,40
31,5,1,0.829650190716914,40
32,5,1,0.9412525885280404,40
33,5,1,0.9162545654303886,40
34,5,1,0.872690733156976,40
35,5,1,0.8828198047121535,40
36,5,1,0.8959758127867457,40
37,5,1,0.8786404439923404,40
38,5,1,0.8773741832931674,40
39,5,1,0.8133512768932446,40
40,5,1,0.9268861244081698,40
41,5,1,0.8870669954253504,40
42,5,1,0.8611173548986842,40
43,5,1,0.8854269824618441,40
44,5,1,0.8301188787234335,40
45,5,1,0.7578085978911123,40
46,5,1,0.8724804433369865,40
47,5,1,0.8879562161512538,40
48,5,1,0.91221627100062,40
49,5,1,0.917861580138635,40
50,5,1,0.8929960144843325,40
51,5,1,0.9303018364890688,40
52,5,1,0.89573913497175,40
53,5,1,0.8661152845837192,40
54,5,1,0.9411070873173212,40
55,5,1,0.7457081583729377,40
56,5,1,0.8644923377812004,40
57,5,1,0.9418808976564106,40
58,5,1,0.8277681800132681,40
59,5,1,0.8735098155811902,40
60,5,1,0.884870448941035,40
61,5,1,0.8166937173234812,40
62,5,1,0.9021851180063454,40
63,5,1,0.8978482018504786,40
64,5,1,0.936942692618152,40
65,5,1,0.9144994541276404,40
66,5,1,0.9382614987392726,40
67,5,1,0.9186638951006943,40
68,5,1,0.7412036089673673,40
69,5,1,0.8777508575147729,40
70,5,1,0.891953455512119,40
71,5,1,0.903068456058989,40
72,5,1,0.8602129076571412,40
73,5,1,0.9182962594078689,40
74,5,1,0.8540821735106562,40
75,5,1,0.8655061962066812,40
76,5,1,0.8054562596623492,40
77,5,1,0.9022471176232058,40
78,5,1,0.9128605140812834,40
79,5,1,0.9037170400369614,40
80,5,1,0.877916260301358,40
81,5,1,0.8654662646464832,40
82,5,1,0.9387898620379316,40
83,5,1,0.7763277356521034,40
84,5,1,0.9280648307350332,40
85,5,1,0.8176140143176022,40
86,5,1,0.8589058203323745,40
87,5,1,0.8480973633768569,40
88,5,1,0.811142332091491,40
89,5,1,0.8223790475425938,40
90,5,1,0.9203006368866083,40
91,5,1,0.8296317131807152,40
92,5,1,0.9204095572170308,40
93,5,1,0.9084915762052286,40
94,5,1,0.8976025710128515,40
95,5,1,0.8671148134843023,40
96,5,1,0.8944788008492786,40
97,5,1,0.9090776651740642,40
98,5,1,0.9081020993618776,40
99,5,1,0.9172574412465642,40
0,5,2,0.9431589038016244,40
1,5,2,0.9496625545037876,40
2,5,2,0.919509022075319,40
3,5,2,0.9119296850666416,40
4,5,2,0.941890207360903,40
5,5,2,0.9115424710380996,40
6,5,2,0.9497417221089864,40
7,5,2,0.9030124621616912,40
8,5,2,0.9438524117561282,40
9,5,2,0.9173961910149748,40
10,5,2,0.932414442823541,40
11,5,2,0.918417271156865,40
12,5,2,0.9304756562926272,40
13,5,2,0.9113981502597476,40
14,5,2,0.9503337590778372,40
15,5,2,0.939001086974238,40
16,5,2,0.9305501560227358,40
17,5,2,0.9304261092226288,40
18,5,2,0.9458307581006452,40
19,5,2,0.934254838303374,40
20,5,2,0.9494536735922856,40
21,5,2,0.9230147024427338,40
22,5,2,0.9215230445426158,40
23,5,2,0.924075334460109,40
24,5,2,0.9256255828922272,40
25,5,2,0.8990648183389027,40
26,5,2,0.9186590599690332,40
27,5,2,0.9378967107333068,40
28,5,2,0.932861363629538,40
29,5,2,0.9224922547677368,40
30,5,2,0.9002530476310268,40
31,5,2,0.9170220405376672,40
32,5,2,0.9351180131436172,40
33,5,2,0.9373652976162804,40
34,5,2,0.9074623100023907,40
35,5,2,0.8980657167837632,40
36,5,2,0.919773935283162,40
37,5,2,0.946606239782838,40
38,5,2,0.9143688925871328,40
39,5,2,0.9232172391016028,40
40,5,2,0.93617540664792,40
41,5,2,0.9326637233694268,40
42,5,2,0.9172299112019148,40
43,5,2,0.9245486821976144,40
44,5,2,0.9169848335555024,40
45,5,2,0.952814810699108,40
46,5,2,0.9336410309750772,40
47,5,2,0.9098709210418492,40
48,5,2,0.905004879080668,40
49,5,2,0.9347175464590154,40
50,5,2,0.88775205910094,40
51,5,2,0.9294245217385458,40
52,5,2,0.901748661400939,40
53,5,2,0.9272681380969328,40
54,5,2,0.9563014804550478,40
55,5,2,0.8888353430906387,40
56,5,2,0.9069159998428978,40
57,5,2,0.9554666173747955,40
58,5,2,0.9105907884419748,40
59,5,2,0.9151101533860644,40
60,5,2,0.9346253786180924,40
61,5,2,0.9277762639238304,40
62,5,2,0.9429084938586216,40
63,5,2,0.9241384251537113,40
64,5,2,0.8941125257405773,40
65,5,2,0.9125090917218506,40
66,5,2,0.9469768940378568,40
67,5,2,0.9230881402749964,40
68,5,2,0.9275204599383464,40
69,5,2,0.9015458327287974,40
70,5,2,0.9472660186790192,40
71,5,2,0.9521554375295562,40
72,5,2,0.9154006120256212,40
73,5,2,0.9091563183074568,40
74,5,2,0.9157731626003676,40
75,5,2,0.90833674591359,40
76,5,2,0.9134142042992476,40
77,5,2,0.9379369354971429,40
78,5,2,0.9026142614025046,40
79,5,2,0.930375205758423,40
80,5,2,0.9364570597809774,40
81,5,2,0.9350753750000448,40
82,5,2,0.922985749645182,40
83,5,2,0.9003278915070039,40
84,5,2,0.9175718484248756,40
85,5,2,0.921290090939758,40
86,5,2,0.9223889582602706,40
87,5,2,0.9172713251364404,40
88,5,2,0.9232820854570294,40
89,5,2,0.9471381437710588,40
90,5,2,0.9105555733970456,40
91,5,2,0.9113734691459676,40
92,5,2,0.9441455472314432,40
93,5,2,0.9241967496793756,40
94,5,2,0.9071426923971292,40
95,5,2,0.9111186514921112,40
96,5,2,0.932793721777976,40
97,5,2,0.916371379337439,40
98,5,2,0.9181670696073686,40
99,5,2,0.9369103197139028,40
0,5,3,0.9538752124022942,40
1,5,3,0.9379598492525444,40
2,5,3,0.9535497596108096,40
3,5,3,0.9188882565953098,40
4,5,3,0.9550481390258522,40
5,5,3,0.9528381787594292,40
6,5,3,0.9330088385975346,40
7,5,3,0.9487840728716996,40
8,5,3,0.9144238835918872,40
9,5,3,0.9292012965553972,40
10,5,3,0.9550609259020416,40
11,5,3,0.9179563905312677,40
12,5,3,0.9572993084676428,40
13,5,3,0.9158470470253622,40
14,5,3,0.9476276774494644,40
