,iter,barcode_tot,n_barcodes,correlation,n_variants
0,0,5,1,0.9189661002901222,40
1,1,5,1,0.9262854245978313,40
2,2,5,1,0.9073414112739155,40
3,3,5,1,0.9029050422972812,40
4,4,5,1,0.8609884851076293,40
5,5,5,1,0.9024095987758716,40
6,6,5,1,0.9218797328080152,40
7,7,5,1,0.8820715657212006,40
8,8,5,1,0.9282350182876568,40
9,9,5,1,0.8766813657267647,40
10,10,5,1,0.8659605249430339,40
11,11,5,1,0.829295254012624,40
12,12,5,1,0.951945767044754,40
13,13,5,1,0.9064492046322243,40
14,14,5,1,0.9142368611653076,40
15,15,5,1,0.9493753521966047,40
16,16,5,1,0.8811282693762619,40
17,17,5,1,0.9381166087381574,40
18,18,5,1,0.8471500670812404,40
19,19,5,1,0.945816646112545,40
20,20,5,1,0.924733966105329,40
21,21,5,1,0.9070560022132944,40
22,22,5,1,0.9047446484084934,40
23,23,5,1,0.8352492818597589,40
24,24,5,1,0.951997018800227,40
25,25,5,1,0.8986338981752783,40
26,26,5,1,0.9119852015185487,40
27,27,5,1,0.8847637043672267,40
28,28,5,1,0.9351520023651814,40
29,29,5,1,0.870873346819185,40
30,30,5,1,0.9382945725108783,40
31,31,5,1,0.829650190716914,40
32,32,5,1,0.9412525885280403,40
33,33,5,1,0.9162545654303886,40
34,34,5,1,0.872690733156976,40
35,35,5,1,0.8828198047121535,40
36,36,5,1,0.8959758127867457,40
37,37,5,1,0.8786404439923404,40
38,38,5,1,0.8773741832931674,40
39,39,5,1,0.8133512768932446,40
40,40,5,1,0.9268861244081698,40
41,41,5,1,0.8870669954253504,40
42,42,5,1,0.8611173548986842,40
43,43,5,1,0.8854269824618441,40
44,44,5,1,0.8301188787234335,40
45,45,5,1,0.7578085978911123,40
46,46,5,1,0.8724804433369865,40
47,47,5,1,0.8879562161512538,40
48,48,5,1,0.91221627100062,40
49,49,5,1,0.917861580138635,40
50,50,5,1,0.8929960144843325,40
51,51,5,1,0.9303018364890688,40
52,52,5,1,0.89573913497175,40
53,53,5,1,0.8661152845837192,40
54,54,5,1,0.9411070873173213,40
55,55,5,1,0.7457081583729377,40
56,56,5,1,0.8644923377812004,40
57,57,5,1,0.9418808976564106,40
58,58,5,1,0.8277681800132681,40
59,59,5,1,0.8735098155811902,40
60,60,5,1,0.884870448941035,40
61,61,5,1,0.8166937173234812,40
62,62,5,1,0.9021851180063454,40
63,63,5,1,0.8978482018504786,40
64,64,5,1,0.936942692618152,40
65,65,5,1,0.9144994541276403,40
66,66,5,1,0.9382614987392726,40
67,67,5,1,0.9186638951006945,40
68,68,5,1,0.7412036089673673,40
69,69,5,1,0.8777508575147729,40
70,70,5,1,0.891953455512119,40
71,71,5,1,0.903068456058989,40
72,72,5,1,0.8602129076571412,40
73,73,5,1,0.9182962594078689,40
74,74,5,1,0.8540821735106562,40
75,75,5,1,0.8655061962066812,40
76,76,5,1,0.8054562596623492,40
77,77,5,1,0.9022471176232058,40
78,78,5,1,0.9128605140812834,40
79,79,5,1,0.9037170400369614,40
80,80,5,1,0.877916260301358,40
81,81,5,1,0.8654662646464832,40
82,82,5,1,0.9387898620379316,40
83,83,5,1,0.7763277356521034,40
84,84,5,1,0.9280648307350333,40
85,85,5,1,0.8176140143176022,40
86,86,5,1,0.8589058203323745,40
87,87,5,1,0.8480973633768569,40
88,88,5,1,0.811142332091491,40
89,89,5,1,0.8223790475425938,40
90,90,5,1,0.9203006368866085,40
91,91,5,1,0.8296317131807152,40
92,92,5,1,0.9204095572170308,40
93,93,5,1,0.9084915762052286,40
94,94,5,1,0.8976025710128515,40
95,95,5,1,0.8671148134843023,40
96,96,5,1,0.8944788008492786,40
97,97,5,1,0.9090776651740642,40
98,98,5,1,0.9081020993618776,40
99,99,5,1,0.9172574412465642,40
100,0,5,2,0.9431589038016243,40
101,1,5,2,0.9496625545037877,40
102,2,5,2,0.919509022075319,40
103,3,5,2,0.9119296850666417,40
104,4,5,2,0.941890207360903,40
105,5,5,2,0.9115424710380997,40
106,6,5,2,0.9497417221089864,40
107,7,5,2,0.9030124621616912,40
108,8,5,2,0.9438524117561282,40
109,9,5,2,0.9173961910149749,40
110,10,5,2,0.932414442823541,40
111,11,5,2,0.918417271156865,40
112,12,5,2,0.9304756562926272,40
113,13,5,2,0.9113981502597477,40
114,14,5,2,0.9503337590778371,40
115,15,5,2,0.9390010869742379,40
116,16,5,2,0.9305501560227358,40
117,17,5,2,0.9304261092226289,40
118,18,5,2,0.9458307581006452,40
119,19,5,2,0.9342548383033741,40
120,20,5,2,0.9494536735922855,40
121,21,5,2,0.9230147024427338,40
122,22,5,2,0.9215230445426158,40
123,23,5,2,0.924075334460109,40
124,24,5,2,0.9256255828922272,40
125,25,5,2,0.8990648183389027,40
126,26,5,2,0.9186590599690331,40
127,27,5,2,0.9378967107333067,40
128,28,5,2,0.9328613636295379,40
129,29,5,2,0.9224922547677367,40
130,30,5,2,0.9002530476310268,40
131,31,5,2,0.9170220405376672,40
132,32,5,2,0.9351180131436173,40
133,33,5,2,0.9373652976162804,40
134,34,5,2,0.9074623100023907,40
135,35,5,2,0.8980657167837632,40
136,36,5,2,0.9197739352831619,40
137,37,5,2,0.946606239782838,40
138,38,5,2,0.9143688925871328,40
139,39,5,2,0.9232172391016027,40
140,40,5,2,0.93617540664792,40
141,41,5,2,0.9326637233694269,40
142,42,5,2,0.9172299112019149,40
143,43,5,2,0.9245486821976143,40
144,44,5,2,0.9169848335555024,40
145,45,5,2,0.9528148106991081,40
146,46,5,2,0.9336410309750772,40
147,47,5,2,0.9098709210418493,40
148,48,5,2,0.905004879080668,40
149,49,5,2,0.9347175464590154,40
150,50,5,2,0.88775205910094,40
151,51,5,2,0.9294245217385458,40
152,52,5,2,0.901748661400939,40
153,53,5,2,0.9272681380969329,40
154,54,5,2,0.9563014804550478,40
155,55,5,2,0.8888353430906387,40
156,56,5,2,0.9069159998428978,40
157,57,5,2,0.9554666173747955,40
158,58,5,2,0.9105907884419749,40
159,59,5,2,0.9151101533860643,40
160,60,5,2,0.9346253786180924,40
161,61,5,2,0.9277762639238305,40
162,62,5,2,0.9429084938586215,40
163,63,5,2,0.9241384251537111,40
164,64,5,2,0.8941125257405773,40
165,65,5,2,0.9125090917218506,40
166,66,5,2,0.9469768940378567,40
167,67,5,2,0.9230881402749964,40
168,68,5,2,0.9275204599383464,40
169,69,5,2,0.9015458327287974,40
170,70,5,2,0.9472660186790192,40
171,71,5,2,0.9521554375295562,40
172,72,5,2,0.9154006120256213,40
173,73,5,2,0.9091563183074569,40
174,74,5,2,0.9157731626003676,40
175,75,5,2,0.9083367459135899,40
176,76,5,2,0.9134142042992477,40
177,77,5,2,0.9379369354971427,40
178,78,5,2,0.9026142614025046,40
179,79,5,2,0.930375205758423,40
180,80,5,2,0.9364570597809774,40
181,81,5,2,0.9350753750000449,40
182,82,5,2,0.9229857496451819,40
183,83,5,2,0.9003278915070039,40
184,84,5,2,0.9175718484248757,40
185,85,5,2,0.9212900909397581,40
186,86,5,2,0.9223889582602706,40
187,87,5,2,0.9172713251364403,40
188,88,5,2,0.9232820854570294,40
189,89,5,2,0.9471381437710589,40
190,90,5,2,0.9105555733970455,40
191,91,5,2,0.9113734691459675,40
192,92,5,2,0.9441455472314432,40
193,93,5,2,0.9241967496793755,40
194,94,5,2,0.9071426923971292,40
195,95,5,2,0.9111186514921112,40
196,96,5,2,0.9327937217779761,40
197,97,5,2,0.916371379337439,40
198,98,5,2,0.9181670696073686,40
199,99,5,2,0.9369103197139029,40
200,0,5,3,0.9538752124022942,40
201,1,5,3,0.9379598492525443,40
202,2,5,3,0.9535497596108096,40
203,3,5,3,0.9188882565953098,40
204,4,5,3,0.9550481390258522,40
205,5,5,3,0.9528381787594292,40
206,6,5,3,0.9330088385975346,40
207,7,5,3,0.9487840728716996,40
208,8,5,3,0.9144238835918872,40
209,9,5,3,0.9292012965553971,40
210,10,5,3,0.9550609259020416,40
211,11,5,3,0.9179563905312675,40
212,12,5,3,0.9572993084676427,40
213,13,5,3,0.9158470470253622,40
214,14,5,3,0.9476276774494645,40
215,15,5,3,0.9479830582197983,40
216,16,5,3,0.9319067898951862,40
217,17,5,3,0.9257174671588114,40
218,18,5,3,0.9368595606004061,40
219,19,5,3,0.9593251695017111,40
220,20,5,3,0.9413936437517747,40
221,21,5,3,0.9356100194032527,40
222,22,5,3,0.9247326692919843,40
223,23,5,3,0.9330238998727026,40
224,24,5,3,0.9322929447593458,40
225,25,5,3,0.9518922300026695,40
226,26,5,3,0.9382547323330244,40
227,27,5,3,0.9493080559440233,40
228,28,5,3,0.9417028739679012,40
229,29,5,3,0.959100307666893,40
230,30,5,3,0.9339790654531717,40
231,31,5,3,0.9160609847129315,40
232,32,5,3,0.9384584308970473,40
233,33,5,3,0.9599015854168566,40
234,34,5,3,0.9441887367553546,40
235,35,5,3,0.93411996513893,40
236,36,5,3,0.9331431574295317,40
237,37,5,3,0.9620553433987683,40
238,38,5,3,0.9256210987232112,40
239,39,5,3,0.9540612641572154,40
240,40,5,3,0.9544910242749989,40
241,41,5,3,0.9240771819245257,40
242,42,5,3,0.9466103414761231,40
243,43,5,3,0.961036626012445,40
244,44,5,3,0.9246542732935075,40
245,45,5,3,0.9398945470851907,40
246,46,5,3,0.9323482152242721,40
247,47,5,3,0.9428225372080714,40
248,48,5,3,0.9579426884822939,40
249,49,5,3,0.9436701282591282,40
250,50,5,3,0.9341559454715967,40
251,51,5,3,0.9577554748111077,40
252,52,5,3,0.9230332000652277,40
253,53,5,3,0.9504925585044383,40
254,54,5,3,0.9636042792616326,40
255,55,5,3,0.9336246595121959,40
256,56,5,3,0.9309918677054688,40
257,57,5,3,0.939631217309807,40
258,58,5,3,0.9264975713672587,40
259,59,5,3,0.9248037777192066,40
260,60,5,3,0.9551543038106947,40
261,61,5,3,0.9657824620443445,40
262,62,5,3,0.9432772346122469,40
263,63,5,3,0.9218847331815143,40
264,64,5,3,0.9391166470652255,40
265,65,5,3,0.9384328002714099,40
266,66,5,3,0.9668590116888779,40
267,67,5,3,0.9508788894398507,40
268,68,5,3,0.9643579853050257,40
269,69,5,3,0.9526001875390683,40
270,70,5,3,0.9453488035507491,40
271,71,5,3,0.9200289913410571,40
272,72,5,3,0.942158811367651,40
273,73,5,3,0.9513193388996485,40
274,74,5,3,0.9421336521150814,40
275,75,5,3,0.9272973928792714,40
276,76,5,3,0.949541355993302,40
277,77,5,3,0.9270715314892017,40
278,78,5,3,0.9527829743421526,40
279,79,5,3,0.9416952790842589,40
280,80,5,3,0.9625077091790425,40
281,81,5,3,0.9377009245628031,40
282,82,5,3,0.9211458968491116,40
283,83,5,3,0.9207188597787965,40
284,84,5,3,0.9358469582687925,40
285,85,5,3,0.9544193209529767,40
286,86,5,3,0.942547400845209,40
287,87,5,3,0.9373427971679816,40
288,88,5,3,0.9518050529086286,40
289,89,5,3,0.9542877739290269,40
290,90,5,3,0.9515437767178396,40
291,91,5,3,0.9244544222721456,40
292,92,5,3,0.9348013750920158,40
293,93,5,3,0.9206924945737425,40
294,94,5,3,0.9543009536173558,40
295,95,5,3,0.9171461312292543,40
296,96,5,3,0.9302129047572527,40
297,97,5,3,0.9304323262104097,40
298,98,5,3,0.9506637466234417,40
299,99,5,3,0.9476239156546896,40
300,0,5,4,0.9393713254065577,40
301,1,5,4,0.9518389603897726,40
302,2,5,4,0.9369197712390852,40
303,3,5,4,0.9654691407536506,40
304,4,5,4,0.9446013568757784,40
305,5,5,4,0.9319289109949694,40
306,6,5,4,0.9594108600127691,40
307,7,5,4,0.9509892285090001,40
308,8,5,4,0.9488663195853974,40
309,9,5,4,0.9377932001746148,40
310,10,5,4,0.9574693963576363,40
311,11,5,4,0.945959096882027,40
312,12,5,4,0.9610649678071227,40
313,13,5,4,0.9500867043829215,40
314,14,5,4,0.9580147861914279,40
315,15,5,4,0.9336372201395481,40
316,16,5,4,0.9462797339728748,40
317,17,5,4,0.9561433151889783,40
318,18,5,4,0.964932494256101,40
319,19,5,4,0.9356856590317864,40
320,20,5,4,0.9486550853652976,40
321,21,5,4,0.9345607756060327,40
322,22,5,4,0.9390613335436099,40
323,23,5,4,0.960023553245032,40
324,24,5,4,0.9391035489701877,40
325,25,5,4,0.9385591585333,40
326,26,5,4,0.9460238200437526,40
327,27,5,4,0.9367460617645466,40
328,28,5,4,0.9524568683007356,40
329,29,5,4,0.9509173405674667,40
330,30,5,4,0.9573777038841085,40
331,31,5,4,0.9474282852017314,40
332,32,5,4,0.9622963142355995,40
333,33,5,4,0.9489900064626352,40
334,34,5,4,0.9393937145814141,40
335,35,5,4,0.9560402086908697,40
336,36,5,4,0.9539692817996372,40
337,37,5,4,0.9527245815504575,40
338,38,5,4,0.9428888540811118,40
339,39,5,4,0.9422312484322618,40
340,40,5,4,0.9444984675319618,40
341,41,5,4,0.9430062654751687,40
342,42,5,4,0.9415460559816662,40
343,43,5,4,0.9352259918068355,40
344,44,5,4,0.9407410576603047,40
345,45,5,4,0.955127057935348,40
346,46,5,4,0.9538938188710837,40
347,47,5,4,0.9546514022749027,40
348,48,5,4,0.9590026723405035,40
