,Unnamed: 0,Fragment,CV,Shannon_uniformity,Gini,LogDiff,exp
0,0,F1,0.64326161541435,0.9710106419663576,0.3432095738667767,0.7852870998789339,golden gate
1,1,F2,0.8016523890161767,0.9576257907057956,0.4115453066331196,0.9686045070820728,golden gate
2,2,F3,0.8313824018810015,0.9519699104165558,0.4371065153259652,1.1669434235691,golden gate
3,3,F4,0.5488735046741223,0.9780703035701496,0.3000615683933497,0.646886174810466,golden gate
4,4,F5,0.5428710201878155,0.9782942075709472,0.3001381942407673,0.6565550390512414,golden gate
5,5,F6,0.6450198712668999,0.9706002680060952,0.3470332389282822,0.7738110728835075,golden gate
6,6,F7,0.580847711502324,0.9751771964418314,0.3197345498229318,0.7229636998952591,golden gate
7,7,F8,0.4666155106929967,0.9837386823479082,0.2604946233153615,0.5474752951850617,golden gate
8,8,F9,0.4249401671452098,0.9863679022089834,0.2341930076010014,0.4868292732260308,golden gate
9,9,F10,0.4869596351881454,0.9820187422870692,0.269635477425821,0.5861553611830042,golden gate
10,10,F11,0.5362694050678359,0.9784267779214276,0.2973019039299555,0.6464628811684987,golden gate
11,11,F12,0.5675145171956637,0.975547678956493,0.3141603942662054,0.7185713080891807,golden gate
12,12,F13,0.5773183684326871,0.9745620528236556,0.3214788193845074,0.7226988145951077,golden gate
13,13,F14,0.6015092447592704,0.97423972399499,0.3248756798685573,0.7056716643653447,golden gate
14,14,F15,0.5215317518247606,0.9790597353969032,0.2915518831220782,0.6746776947477429,golden gate
15,15,F16,0.5307187656112992,0.979259627215493,0.2905399652763035,0.6232955346496558,golden gate
16,16,F17,0.528613625932827,0.979242953153725,0.2901430280461514,0.6436655435823737,golden gate
17,17,F18,0.5549915903780319,0.9775710160976694,0.303068487464287,0.6808743216540396,golden gate
18,18,F19,0.6243530056135196,0.9706677601878364,0.3416242754312608,0.777773843395233,golden gate
19,19,F20,0.5377539763252361,0.9789483479771376,0.2944942905282602,0.6183728051686255,golden gate
20,20,F21,0.6600109714106122,0.9675906067163118,0.3597618214193237,0.9211283300279184,golden gate
