,Fragment,class,count,msum,n_pcr,perc,mut_sum,mut_avg,tot_mut,perc_mutations,pcr_set,More_than_4,More_than_9,n,>4,>9,nclones_pcr,nclones,nclones_bp
22,F13,GOOD,23515,38254,12,61.47069587494119,518,20.72,525.0,98.66666666666669,0,524,521,524,100.0,99.42748091603052,5000.0,60000.0,800
23,F43,GOOD,18999,56108,12,33.86148142867327,373,20.72222222222222,378.0,98.67724867724868,0,375,373,377,99.46949602122017,98.93899204244032,7500.0,90000.0,1765
24,F13,GOOD,23954,39510,13,60.627689192609466,518,20.72,525.0,98.66666666666669,0,524,521,524,100.0,99.42748091603052,5000.0,65000.0,867
25,F43,GOOD,18320,57736,13,31.73063599833726,373,20.72222222222222,378.0,98.67724867724868,0,375,373,377,99.46949602122017,98.93899204244032,7500.0,97500.0,1912
26,F13,GOOD,24240,40550,14,59.77805178791616,518,20.72,525.0,98.66666666666669,0,524,521,524,100.0,99.42748091603052,5000.0,70000.0,933
27,F43,GOOD,17388,59529,14,29.20929294965479,373,20.72222222222222,378.0,98.67724867724868,0,375,373,377,99.46949602122017,98.93899204244032,7500.0,105000.0,2059
28,F13,GOOD,24557,41537,15,59.12078387943279,518,20.72,525.0,98.66666666666669,0,524,521,524,100.0,99.42748091603052,5000.0,75000.0,1000
29,F43,GOOD,16414,61034,15,26.89320706491464,373,20.72222222222222,378.0,98.67724867724868,0,375,373,377,99.46949602122017,98.93899204244032,7500.0,112500.0,2206
30,F13,GOOD,25521,45010,16,56.70073317040658,518,20.72,525.0,98.66666666666669,0,524,522,524,100.0,99.61832061068702,5000.0,80000.0,1067
31,F43,GOOD,15924,61828,16,25.75532121368959,373,20.72222222222222,378.0,98.67724867724868,0,375,373,377,99.46949602122017,98.93899204244032,7500.0,120000.0,2353
32,F13,GOOD,2845,3531,1,80.57207589917871,504,20.16,525.0,96.0,1,313,135,508,61.61417322834646,26.574803149606304,5000.0,5000.0,67
33,F43,GOOD,11032,13800,1,79.94202898550725,373,20.72222222222222,378.0,98.67724867724868,1,373,359,376,99.20212765957449,95.47872340425532,7500.0,7500.0,147
34,F13,GOOD,4752,6090,2,78.0295566502463,516,20.64,525.0,98.28571428571428,1,451,285,521,86.56429942418427,54.70249520153551,5000.0,10000.0,133
35,F43,GOOD,18143,26670,2,68.02774653168355,373,20.72222222222222,378.0,98.67724867724868,1,373,373,376,99.20212765957449,99.20212765957449,7500.0,15000.0,294
36,F13,GOOD,6329,8164,3,77.52327290543852,517,20.68,525.0,98.47619047619048,1,489,364,522,93.67816091954025,69.73180076628353,5000.0,15000.0,200
37,F43,GOOD,20488,33945,3,60.35645897775815,373,20.72222222222222,378.0,98.67724867724868,1,373,373,376,99.20212765957449,99.20212765957449,7500.0,22500.0,441
38,F13,GOOD,9087,11913,4,76.27801561319568,517,20.68,525.0,98.47619047619048,1,512,462,523,97.89674952198853,88.33652007648183,5000.0,20000.0,267
39,F43,GOOD,21546,39041,4,55.18813554980662,373,20.72222222222222,378.0,98.67724867724868,1,373,373,376,99.20212765957449,99.20212765957449,7500.0,30000.0,588
40,F13,GOOD,9089,11915,5,76.28199748216534,517,20.68,525.0,98.47619047619048,1,512,462,523,97.89674952198853,88.33652007648183,5000.0,25000.0,333
41,F43,GOOD,21737,43096,5,50.43855578243921,373,20.72222222222222,378.0,98.67724867724868,1,373,373,376,99.20212765957449,99.20212765957449,7500.0,37500.0,735
42,F13,GOOD,11349,15300,6,74.1764705882353,518,20.72,525.0,98.66666666666669,1,518,497,524,98.85496183206108,94.8473282442748,5000.0,30000.0,400
43,F43,GOOD,21528,46214,6,46.58328644999351,373,20.72222222222222,378.0,98.67724867724868,1,373,373,376,99.20212765957449,99.20212765957449,7500.0,45000.0,882
44,F13,GOOD,13247,18225,7,72.68587105624142,518,20.72,525.0,98.66666666666669,1,519,511,524,99.04580152671755,97.51908396946564,5000.0,35000.0,467
45,F43,GOOD,20835,50599,7,41.176703096899146,373,20.72222222222222,378.0,98.67724867724868,1,373,373,376,99.20212765957449,99.20212765957449,7500.0,52500.0,1029
46,F13,GOOD,18694,27658,8,67.58984742208402,518,20.72,525.0,98.66666666666669,1,523,517,524,99.80916030534353,98.66412213740458,5000.0,40000.0,533
47,F43,GOOD,20385,52477,8,38.84558949635078,373,20.72222222222222,378.0,98.67724867724868,1,373,373,376,99.20212765957449,99.20212765957449,7500.0,60000.0,1176
48,F13,GOOD,21045,32700,9,64.35779816513761,518,20.72,525.0,98.66666666666669,1,523,520,524,99.80916030534353,99.23664122137404,5000.0,45000.0,600
49,F43,GOOD,19967,54234,9,36.81638824353726,373,20.72222222222222,378.0,98.67724867724868,1,373,373,376,99.20212765957449,99.20212765957449,7500.0,67500.0,1324
50,F13,GOOD,21045,32701,10,64.35583009693893,518,20.72,525.0,98.66666666666669,1,523,520,524,99.80916030534353,99.23664122137404,5000.0,50000.0,667
51,F43,GOOD,19517,55808,10,34.97168864678899,373,20.72222222222222,378.0,98.67724867724868,1,373,373,376,99.20212765957449,99.20212765957449,7500.0,75000.0,1471
52,F13,GOOD,22295,35451,11,62.88962229556289,518,20.72,525.0,98.66666666666669,1,523,521,524,99.80916030534353,99.42748091603052,5000.0,55000.0,733
53,F43,GOOD,18865,57143,11,33.01366746583134,373,20.72222222222222,378.0,98.67724867724868,1,373,373,376,99.20212765957449,99.20212765957449,7500.0,82500.0,1618
54,F13,GOOD,22954,37300,12,61.53887399463807,518,20.72,525.0,98.66666666666669,1,524,521,524,100.0,99.42748091603052,5000.0,60000.0,800
55,F43,GOOD,17985,58690,12,30.64406202078719,373,20.72222222222222,378.0,98.67724867724868,1,375,373,376,99.7340425531915,99.20212765957449,7500.0,90000.0,1765
56,F13,GOOD,24550,41726,13,58.83621722666922,518,20.72,525.0,98.66666666666669,1,524,522,524,100.0,99.61832061068702,5000.0,65000.0,867
57,F43,GOOD,17307,59791,13,28.945827967419845,373,20.72222222222222,378.0,98.67724867724868,1,375,373,377,99.46949602122017,98.93899204244032,7500.0,97500.0,1912
58,F13,GOOD,25221,43889,14,57.465424138166746,518,20.72,525.0,98.66666666666669,1,524,522,524,100.0,99.61832061068702,5000.0,70000.0,933
59,F43,GOOD,17174,59985,14,28.63049095607235,373,20.72222222222222,378.0,98.67724867724868,1,375,373,377,99.46949602122017,98.93899204244032,7500.0,105000.0,2059
60,F13,GOOD,25221,43889,15,57.465424138166746,518,20.72,525.0,98.66666666666669,1,524,522,524,100.0,99.61832061068702,5000.0,75000.0,1000
61,F43,GOOD,16650,60720,15,27.420948616600796,373,20.72222222222222,378.0,98.67724867724868,1,375,373,377,99.46949602122017,98.93899204244032,7500.0,112500.0,2206
62,F13,GOOD,25521,45010,16,56.70073317040658,518,20.72,525.0,98.66666666666669,1,524,522,524,100.0,99.61832061068702,5000.0,80000.0,1067
