,iter,barcode_tot,n_barcodes,correlation,n_variants
0,0,,1,0.8414521833762376,493
1,1,,1,0.8172303882321198,493
2,2,,1,0.8270563262732418,493
3,3,,1,0.8324926768352264,493
4,4,,1,0.8143384909103759,493
5,5,,1,0.8039020562636222,493
6,6,,1,0.8275824505068348,493
7,7,,1,0.8297187503196909,493
8,8,,1,0.8136032749166168,493
9,9,,1,0.8369690784163648,493
10,10,,1,0.8233781524333684,493
11,11,,1,0.8472087024158284,493
12,12,,1,0.845116409247003,493
13,13,,1,0.8253721500097602,493
14,14,,1,0.841755413129737,493
15,15,,1,0.8434222161876767,493
16,16,,1,0.8377262418089979,493
17,17,,1,0.8304584050941687,493
18,18,,1,0.8123142258451737,493
19,19,,1,0.8416787355029138,493
20,20,,1,0.8293749705094638,493
21,21,,1,0.8218291284047817,493
22,22,,1,0.8591453754737399,493
23,23,,1,0.8486494408777009,493
24,24,,1,0.8356890945036887,493
25,25,,1,0.8356973114797579,493
26,26,,1,0.8234029762131972,493
27,27,,1,0.8715901717683255,493
28,28,,1,0.842115677012455,493
29,29,,1,0.8297638768049206,493
30,30,,1,0.829010551032107,493
31,31,,1,0.814964647146928,493
32,32,,1,0.8152844859132854,493
33,33,,1,0.8268722266818338,493
34,34,,1,0.8588894658408305,493
35,35,,1,0.8412618480663778,493
36,36,,1,0.820028492053917,493
37,37,,1,0.8081684079386234,493
38,38,,1,0.8109514225864429,493
39,39,,1,0.8530086141795907,493
40,40,,1,0.8358690445115747,493
41,41,,1,0.827105816234002,493
42,42,,1,0.8365849339915551,493
43,43,,1,0.8034484352728789,493
44,44,,1,0.7991392301105197,493
45,45,,1,0.8343883799793131,493
46,46,,1,0.8127468879537586,493
47,47,,1,0.8527884170354384,493
48,48,,1,0.8081765619614845,493
49,49,,1,0.8384732533874614,493
50,50,,1,0.8387633075839105,493
51,51,,1,0.8334148762944972,493
52,52,,1,0.8502064789060021,493
53,53,,1,0.8034729148088156,493
54,54,,1,0.8407776792332327,493
55,55,,1,0.8202297892828497,493
56,56,,1,0.8505950428887021,493
57,57,,1,0.8519346218596275,493
58,58,,1,0.8376910936475016,493
59,59,,1,0.8276320908274325,493
60,60,,1,0.8271628355288464,493
61,61,,1,0.8421878998400335,493
62,62,,1,0.8151533307338558,493
63,63,,1,0.8206793182540295,493
64,64,,1,0.8393043050455419,493
65,65,,1,0.8272053415574337,493
66,66,,1,0.8239066521024226,493
67,67,,1,0.8285179624032731,493
68,68,,1,0.8389817399812449,493
69,69,,1,0.8570854535721273,493
70,70,,1,0.8245890963940021,493
71,71,,1,0.8308175051620025,493
72,72,,1,0.847116751018671,493
73,73,,1,0.8196188707013091,493
74,74,,1,0.8239975936683358,493
75,75,,1,0.8413515208652886,493
76,76,,1,0.8243009104540137,493
77,77,,1,0.8464238351260234,493
78,78,,1,0.8309934564125853,493
79,79,,1,0.8144784347253581,493
80,80,,1,0.8489525467943598,493
81,81,,1,0.8531918951769246,493
82,82,,1,0.8144523074821468,493
83,83,,1,0.8347789697162982,493
84,84,,1,0.8086546805770234,493
85,85,,1,0.855578188299004,493
86,86,,1,0.8307627831611863,493
87,87,,1,0.8370026752877844,493
88,88,,1,0.8085061308086275,493
