iter,barcode_tot,n_barcodes,correlation,n_variants
0,,1,0.8414521833762376,493
1,,1,0.8172303882321198,493
2,,1,0.8270563262732418,493
3,,1,0.8324926768352264,493
4,,1,0.8143384909103759,493
5,,1,0.8039020562636222,493
6,,1,0.8275824505068348,493
7,,1,0.8297187503196909,493
8,,1,0.8136032749166168,493
9,,1,0.8369690784163648,493
10,,1,0.8233781524333684,493
11,,1,0.8472087024158284,493
12,,1,0.845116409247003,493
13,,1,0.8253721500097602,493
14,,1,0.841755413129737,493
15,,1,0.8434222161876767,493
16,,1,0.8377262418089979,493
17,,1,0.8304584050941687,493
18,,1,0.8123142258451737,493
19,,1,0.8416787355029138,493
20,,1,0.8293749705094638,493
21,,1,0.8218291284047817,493
22,,1,0.8591453754737399,493
23,,1,0.8486494408777009,493
24,,1,0.8356890945036887,493
25,,1,0.8356973114797579,493
26,,1,0.8234029762131972,493
27,,1,0.8715901717683255,493
28,,1,0.842115677012455,493
29,,1,0.8297638768049206,493
30,,1,0.829010551032107,493
31,,1,0.814964647146928,493
32,,1,0.8152844859132854,493
33,,1,0.8268722266818338,493
34,,1,0.8588894658408305,493
35,,1,0.8412618480663778,493
36,,1,0.820028492053917,493
37,,1,0.8081684079386234,493
38,,1,0.8109514225864429,493
39,,1,0.8530086141795907,493
40,,1,0.8358690445115747,493
41,,1,0.827105816234002,493
42,,1,0.8365849339915551,493
43,,1,0.8034484352728789,493
44,,1,0.7991392301105197,493
45,,1,0.8343883799793131,493
46,,1,0.8127468879537586,493
47,,1,0.8527884170354384,493
48,,1,0.8081765619614845,493
49,,1,0.8384732533874614,493
50,,1,0.8387633075839105,493
51,,1,0.8334148762944972,493
52,,1,0.8502064789060021,493
53,,1,0.8034729148088156,493
54,,1,0.8407776792332327,493
55,,1,0.8202297892828497,493
56,,1,0.8505950428887021,493
57,,1,0.8519346218596275,493
58,,1,0.8376910936475016,493
59,,1,0.8276320908274325,493
60,,1,0.8271628355288464,493
61,,1,0.8421878998400335,493
62,,1,0.8151533307338558,493
63,,1,0.8206793182540295,493
64,,1,0.8393043050455419,493
65,,1,0.8272053415574337,493
66,,1,0.8239066521024226,493
67,,1,0.8285179624032731,493
68,,1,0.8389817399812449,493
69,,1,0.8570854535721273,493
70,,1,0.8245890963940021,493
71,,1,0.8308175051620025,493
72,,1,0.847116751018671,493
73,,1,0.8196188707013091,493
74,,1,0.8239975936683358,493
75,,1,0.8413515208652886,493
76,,1,0.8243009104540137,493
77,,1,0.8464238351260234,493
78,,1,0.8309934564125853,493
79,,1,0.8144784347253581,493
80,,1,0.8489525467943598,493
81,,1,0.8531918951769246,493
82,,1,0.8144523074821468,493
83,,1,0.8347789697162982,493
84,,1,0.8086546805770234,493
85,,1,0.855578188299004,493
86,,1,0.8307627831611863,493
87,,1,0.8370026752877844,493
88,,1,0.8085061308086275,493
89,,1,0.7924485246416132,493
90,,1,0.8330200155702325,493
91,,1,0.846149077743184,493
92,,1,0.844472760700926,493
93,,1,0.8205571262138309,493
94,,1,0.8250301862150129,493
95,,1,0.8315566847093605,493
96,,1,0.8459688901575526,493
97,,1,0.8284113412645946,493
98,,1,0.8287998390349026,493
99,,1,0.8253157453572378,493
0,,2,0.9091484214067932,493
1,,2,0.8901249355550769,493
2,,2,0.9097613715472688,493
3,,2,0.913563253264824,493
4,,2,0.8948053921323069,493
5,,2,0.9042443679104736,493
6,,2,0.9056722370549236,493
7,,2,0.8918867867925604,493
8,,2,0.8965248628336636,493
9,,2,0.9163568969789202,493
10,,2,0.9028021378883372,493
11,,2,0.8966951170069075,493
12,,2,0.9000970277997988,493
13,,2,0.910156283307528,493
14,,2,0.9024134669523004,493
15,,2,0.9000994723512099,493
16,,2,0.8997189803708202,493
17,,2,0.9067623738732834,493
18,,2,0.8929710069668393,493
19,,2,0.9020702638432074,493
20,,2,0.9070333718246472,493
21,,2,0.8914769977591113,493
22,,2,0.9016128226093928,493
23,,2,0.8940071762950825,493
24,,2,0.8941983326507241,493
25,,2,0.9009798977466382,493
26,,2,0.9000853288930195,493
27,,2,0.8990068373832483,493
28,,2,0.8968705890512464,493
29,,2,0.9065173285896948,493
30,,2,0.8777862035595322,493
31,,2,0.902212353239082,493
32,,2,0.907482230697352,493
33,,2,0.9083094821449408,493
34,,2,0.8940740068032589,493
35,,2,0.905194022353926,493
36,,2,0.883766330309655,493
37,,2,0.9096182807150468,493
38,,2,0.8994817043305015,493
39,,2,0.9107626190709552,493
40,,2,0.9037160675920636,493
41,,2,0.8976263526006393,493
42,,2,0.9182811693343408,493
43,,2,0.90059952717393,493
44,,2,0.915375090758707,493
45,,2,0.8987062739643713,493
46,,2,0.9122824221374788,493
47,,2,0.9129344333702696,493
48,,2,0.9004431177269109,493
49,,2,0.9044509444498644,493
50,,2,0.9037649456991376,493
